Produit,SKU,Client,Logo blanc,Catégorie,Catégorie client,Contenance,Mockup-appli,ADV,Etuis/étiquettes (dernière version validée),Dosage pour,Allégations complètes,Allégations selectionnées,Composition,Liste d'ingrédients,Conseils d'utilisation,Précaution d'emploi,Poids net,Attestation de déclaration,ACL,Mockup,MOCKUP PN - v2 (old),MOCKUP PN - v1 (old),Statut Mockup,Photos du produit
ESCHOLTIZIA BIO,FENU150,PHARMA NATURE,PN-blanc.png (https://dl.airtable.com/.attachments/ad3b9142f3dbdffaa91204d99b3212ae/a662ecb5/PN-blanc.png),Bio,Vital organic,150 gélules,ESCHOLTZIA.png (https://dl.airtable.com/.attachments/2a8b978ee4ac51a9e2213b0e33db7c92/c2a68102/ESCHOLTZIA.png),VITAL ORGANIC AV AOUT2021 300DPI.pdf (https://dl.airtable.com/.attachments/6fa7ae38f997fcb36c873bc6964c6fb4/7d4b2f9b/VITALORGANICAVAOUT2021300DPI.pdf),,3 gélules,,"- aide à favoriser la relaxation et le bien-être mental et physique
- améliore la qualité du sommeil naturel.",- 900 mg d’extrait de parties aériennes d’escholtzia BIO.,Extrait de parties aériennes d’escholtzia BIO (Eschscholtzia californica) ; agent de charge : gomme d’acacia BIO ; gélule végétale : hydroxypropylméthylcellulose ; anti-agglomérant : extrait de riz BIO.  ,prendre 1 à 3 gélules par jour.,"Ce produit est un complément alimentaire à base d’extraits de plantes. Les compléments alimentaires doivent être utilisés dans le cadre d’un mode de vie sain et ne pas être utilisés comme substituts d’un régime équilibré et varié. Se conformer aux conseils d’utilisation, ne pas dépasser la dose journalière recommandée. Tenir hors de portée des enfants. Déconseillé aux femmes enceintes ou qui allaitent et aux enfants de moins de 6 ans. À conserver à l’abri de la chaleur, de la lumière et de l’humidité.",,,3760293913704,ESCHOLTZIA.png (https://dl.airtable.com/.attachments/957e1e3e97e331059ca1d7f6fe0b67e7/e85587f1/ESCHOLTZIA.png),,,Fait,
ESSENTIEL 10 MD,ESSENTIEL 10MD,PHARMA NATURE,PN-blanc.png (https://dl.airtable.com/.attachments/ad3b9142f3dbdffaa91204d99b3212ae/a662ecb5/PN-blanc.png),Probiotiques,Prescription biotic,30 gélules,mockup-biotic-essentiel-30g.png (https://dl.airtable.com/.attachments/ef10f81db5b95dbf9245d3b5408add59/1bc1e72d/mockup-biotic-essentiel-30g.png),BIOTIC PRESCRIPTION ADV AOUT2021 300DPI.pdf (https://dl.airtable.com/.attachments/1a6cdae8e35dea570c4382e61669f772/276640c5/BIOTICPRESCRIPTIONADVAOUT2021300DPI.pdf),ESSENTIEL30-20_1.pdf (https://dl.airtable.com/.attachments/68d45b373d98143c5c56e57e9ff0e21c/5a61b5df/ESSENTIEL30-20_1.pdf),,NA,,"'- Bifidobactérium longum BL03 
- Bifidobactérium breve BR03 
- Bifidobactérium animalis subsp. lactis BS01
- Bifidobactérium adolescentis BA02 
- Lactobacillus plantarum LP01

10x10^9 Cellules

1 cellule = 1 Unité Formant Colonie (UFC)",Agent de charge : Gomme d’acacia ; Gélule végétale : Pullulan ; Bifidobactérium longum BL03 ; Bifidobactérium breve BR03 ; Bifidobactérium animalis subsp. lactis BS01 ; Bifidobactérium adolescentis BA02 ; Lactobacillus plantarum LP01 ; Anti-agglomérant : Extrait de riz.,1 gélule par jour avec un grand verre d'eau,"Ce produit est un complément alimentaire. Il doit être utilisé dans le cadre d’un mode de vie sain et ne pas être utilisé comme substitut d’un régime équilibré et varié. Se conformer aux conseils d’utilisation, ne pas dépasser la dose journalière recommandée. Tenir hors de portée des enfants. Déconseillé aux femmes enceintes ou qui allaitent et aux enfants de moins de 12 ans. À conserver dans un endroit sec et frais.","17,34 g",Attestation ESSENTIEL.pdf (https://dl.airtable.com/.attachments/68f4f42ff82f8d68d4afb2787273a6d2/cf57f618/AttestationESSENTIEL.pdf),3760293911366,"mockup essentiel 30g.png (https://dl.airtable.com/.attachments/cc54bfb29c8f000046391d21add9a5e1/c6fe6f9d/mockupessentiel30g.png),mockup essentiel 30g dos.png (https://dl.airtable.com/.attachments/dbe4ee78847a79423b89e618a9993a2c/fc89b574/mockupessentiel30gdos.png),mockup biotic essentiel 30g.png (https://dl.airtable.com/.attachments/e3bf76c342edc7011608f9758d06e818/bc5f9548/mockupbioticessentiel30g.png),mockup biotic essentiel 30g dos.png (https://dl.airtable.com/.attachments/fe134253e75467d0e57f42979180c579/03ccc42c/mockupbioticessentiel30gdos.png)",,Mockup800x800-Prescription-Nature-face-essentiel.jpg (https://dl.airtable.com/.attachments/919ad912210d2a8233d5cd912ea61807/6bf37ad8/Mockup800x800-Prescription-Nature-face-essentiel.jpg),Fait,
EXPERT KERATINE,KÉRATINE,PHARMA NATURE,PN-blanc.png (https://dl.airtable.com/.attachments/ad3b9142f3dbdffaa91204d99b3212ae/a662ecb5/PN-blanc.png),Beauté,Prescription beauté,60 gélules,Mockup2000x2000-amazon-face-expert-keratine.jpg (https://dl.airtable.com/.attachments/d6520e40d5d9d5741f2547957cff3532/cfe9bd1a/Mockup2000x2000-amazon-face-expert-keratine.jpg),PRESCRIPTION BEAUTE AV AOUT2021 300DPI.pdf (https://dl.airtable.com/.attachments/921810d545bd167433eea72f6df63a9e/49969549/PRESCRIPTIONBEAUTEAVAOUT2021300DPI.pdf),ETUI KERATINE OKFBNF1.pdf (https://dl.airtable.com/.attachments/a3d9881836c71ac3a3f85f2a45535b59/4d54d64d/ETUIKERATINEOKFBNF1.pdf),2 gélules,NA,,"- Mélatine® : hydrolysat de kératine  : 325 mg 
- Cynatine® HNS : kératine solubilisée : 250 mg
- Omegia® : extrait de fruits et graines d’argousier
titré en oméga 3-6-7-9 : 250 mg
",Mélatine® : hydrolysat de kératine ; Cynatine® HNS : kératine solubilisée ; Omegia® : extraits de fruits et graines d’argousier (Hippophae rhamnoides) ; Gélule végétale : Pullulan ; Agent de charge : gomme d’acacia ; Anti-agglomérant : extrait de riz ; Antioxydants : vitamine C et vitamine E.,2 gélules par jour avec un grand verre d'eau,"Ce produit est un complément alimentaire à base de kératine et d’extraits de plantes. Les compléments alimentaires doivent être utilisés dans le cadre d’un mode de vie sain et ne pas être utilisés comme substituts d’un régime équilibré et varié. Se conformer aux conseils d’utilisation, ne pas dépasser la dose journalière recommandée. Tenir hors de portée des enfants. Déconseillé aux femmes enceintes ou qui allaitent, aux enfants de moins de 12 ans et aux personnes sous traitement anticoagulant. À conserver à l’abri de la chaleur, de la lumière et de l’humidité.","33,06 g",,3760293911588,"Mockup2000x2000-amazon-face-expert-keratine.jpg (https://dl.airtable.com/.attachments/d6520e40d5d9d5741f2547957cff3532/cfe9bd1a/Mockup2000x2000-amazon-face-expert-keratine.jpg),Mockup2000x2000-amazon-back-expert-keratine.jpg (https://dl.airtable.com/.attachments/02781f740c6977302f693fd034348032/5cc37060/Mockup2000x2000-amazon-back-expert-keratine.jpg)",,,Fait,
EXPERT RADIANCE,RADIANCE,PHARMA NATURE,PN-blanc.png (https://dl.airtable.com/.attachments/ad3b9142f3dbdffaa91204d99b3212ae/a662ecb5/PN-blanc.png),Beauté,Prescription beauté,60 gélules,Mockup2000x2000-amazon-face-expert-radiance.jpg (https://dl.airtable.com/.attachments/ac90319032f951ee61ff283eafdbc224/1cab9a26/Mockup2000x2000-amazon-face-expert-radiance.jpg),PRESCRIPTION BEAUTE AV AOUT2021 300DPI.pdf (https://dl.airtable.com/.attachments/ec30b121c5498220e28a027993306b15/8cc5dc34/PRESCRIPTIONBEAUTEAVAOUT2021300DPI.pdf),ETUI RADIANCE OKFBNF1.pdf (https://dl.airtable.com/.attachments/009d6083f08f508ea86a96dedc37c370/acfb7238/ETUIRADIANCEOKFBNF1.pdf),2 gélules,"ZInc : 
Contribue au maintien d'une peau normale

Pepins de raisin : 
Antioxydant
Améliore la santé générale et l'apparence de la peau

Vitamine C : 
Supporte les défenses naturelles contre les UV",- Peau lumineuse et éclatante,"'- Setria® : L-glutathion réduit : 250 mg
- Omegia® : extrait de fruits et graines d’argousier titré en oméga 3-6-7-9 : 250 mg
- SkinAx2™ : 150 mg
dont extrait de pépins de raisin de Champagne titré en OPC (oligo-proanthocyanidines) : 114,7 mg
dont citrate de zinc : 16,5 mg 
avec zinc élément : 4 mg 40%
dont vitamine C enrobée : 16,5 mg 
avec vitamine C élément 12 mg 15%
dont extrait de melon titré en SOD 2,3 mg","Setria® : L-glutathion réduit ; Omegia® : extraits de fruits et graines d’argousier (Hippophae rhamnoides) ; Agent de charge : gomme d’acacia ; SkinAx2™ : extrait de pépins de raisin (Vitis vinifera), concentré de melon (Cucumis melo), zinc et vitamine C ; Gélule végétale : Pullulan ; Anti- agglomérant : extrait de riz; Antioxydants : vitamine C et vitamine E.",2 gélules par jour avec un grand verre d'eau,"Ce produit est un complément alimentaire à base d’extraits de plantes, de L-glutathion, de vitamines et minéral. Les compléments alimentaires doivent être utilisés dans le cadre d’un mode de vie sain et ne pas être utilisés comme substituts d’un régime équilibré et varié. Se conformer aux conseils d’utilisation, ne pas dépasser la dose journalière recommandée. Tenir hors de portée des enfants. Déconseillé aux femmes enceintes ou qui allaitent, aux enfants de moins de 12 ans et aux personnes sous traitement anticoagulant. À conserver à l’abri de la chaleur, de la lumière et de l’humidité.","33,18 g",,3760293911540,"Mockup2000x2000-amazon-face-expert-radiance.jpg (https://dl.airtable.com/.attachments/ac90319032f951ee61ff283eafdbc224/1cab9a26/Mockup2000x2000-amazon-face-expert-radiance.jpg),Mockup2000x2000-amazon-back-expert-radiance.jpg (https://dl.airtable.com/.attachments/5f2c1b411bce947105b3ae2ab2ec431b/09335fe9/Mockup2000x2000-amazon-back-expert-radiance.jpg)",,,Fait,
FENUGREC BIO,FENU45,PHARMA NATURE,PN-blanc.png (https://dl.airtable.com/.attachments/ad3b9142f3dbdffaa91204d99b3212ae/a662ecb5/PN-blanc.png),Bio,Vital organic,45 gélules,fenugrec45.png (https://dl.airtable.com/.attachments/76b7a4bbd4ccc88650ee50df69c11ef6/251744e5/fenugrec45.png),VITAL ORGANIC AV AOUT2021 300DPI.pdf (https://dl.airtable.com/.attachments/6fa7ae38f997fcb36c873bc6964c6fb4/7d4b2f9b/VITALORGANICAVAOUT2021300DPI.pdf),,3 gélules,,- aide à équilibrer le métabolisme des graisses et maintenir une glycémie normale,- 900 mg d’extrait de graines de fenugrec BIO.,extrait de graines de fenugrec BIO (Trigonella foenum-graecum) ; agent de charge : gomme d’acacia BIO ; gélule végétale : hydroxypropylméthylcellulose ; anti-agglomérant : extrait de riz BIO. ,prendre 1 à 3 gélules par jour.,"ce produit est un complément alimentaire à base d’extraits de plantes. Les compléments alimentaires doivent être utilisés dans le cadre d’un mode de vie sain et ne pas être utilisés comme substituts d’un régime équilibré et varié. Se conformer aux conseils d’utilisation, ne pas dépasser la dose journalière recommandée. Tenir hors de portée des enfants. Déconseillé aux femmes enceintes ou qui allaitent et aux enfants de moins de 6 ans. À conserver à l’abri de la chaleur, de la lumière et de l’humidité.","24,12 g",,3760293913698,fenugrec45.png (https://dl.airtable.com/.attachments/79050d828f0436bd1e2864058ef805d3/2356da0a/fenugrec45.png),,,Fait,
FENUGREC BIO,FENU150,PHARMA NATURE,PN-blanc.png (https://dl.airtable.com/.attachments/ad3b9142f3dbdffaa91204d99b3212ae/a662ecb5/PN-blanc.png),Bio,Vital organic,150 gélules,FENUGREC.png (https://dl.airtable.com/.attachments/87ab1a3c54eb5c1e143c6262b7769aa0/4bd2bce2/FENUGREC.png),VITAL ORGANIC AV AOUT2021 300DPI.pdf (https://dl.airtable.com/.attachments/6fa7ae38f997fcb36c873bc6964c6fb4/7d4b2f9b/VITALORGANICAVAOUT2021300DPI.pdf),,3 gélules,,- aide à équilibrer le métabolisme des graisses et maintenir une glycémie normale,- 900 mg d’extrait de graines de fenugrec BIO.,extrait de graines de fenugrec BIO (Trigonella foenum-graecum) ; agent de charge : gomme d’acacia BIO ; gélule végétale : hydroxypropylméthylcellulose ; anti-agglomérant : extrait de riz BIO. ,prendre 1 à 3 gélules par jour.,"ce produit est un complément alimentaire à base d’extraits de plantes. Les compléments alimentaires doivent être utilisés dans le cadre d’un mode de vie sain et ne pas être utilisés comme substituts d’un régime équilibré et varié. Se conformer aux conseils d’utilisation, ne pas dépasser la dose journalière recommandée. Tenir hors de portée des enfants. Déconseillé aux femmes enceintes ou qui allaitent et aux enfants de moins de 6 ans. À conserver à l’abri de la chaleur, de la lumière et de l’humidité.",80.40 g,,3760293913681,FENUGREC.png (https://dl.airtable.com/.attachments/7ca74dde8a077fa952b7986096e273da/a2ba5226/FENUGREC.png),,,Fait,
FER LIPOSOMIA,FERLIPO,PHARMA NATURE,PN-blanc.png (https://dl.airtable.com/.attachments/ad3b9142f3dbdffaa91204d99b3212ae/a662ecb5/PN-blanc.png),Liposome,Liposomia,30 gélules,mockup-fer-30g.png (https://dl.airtable.com/.attachments/36e3866bf23fb5ddd028512c7b302695/d4652c34/mockup-fer-30g.png),LIPOSOMIA FER COMPLEX ADV AOUT2021.pdf (https://dl.airtable.com/.attachments/bf322a5051d1fa5494a55a5072b044ae/a510e495/LIPOSOMIAFERCOMPLEXADVAOUT2021.pdf),ETUI LIPOSOMIA FER JUILLET2021.pdf (https://dl.airtable.com/.attachments/dccc8e90c165ffba2f71af5617ff3ff6/c2824de4/ETUILIPOSOMIAFERJUILLET2021.pdf),1 gélule,,"Le fer et les vitamines B2, B6, B12 contribuent à la formation et au maintien des globules rouges.
Le fer et les vitamines B2, B5, B6, B12, C, contribuent à réduire la fatigue.","- Fer liposomé 14 mg - 100% AR
- Vitamine B1 liposomée 0,24 mg 22% AR
- Vitamine B2 liposomée 0,24 mg 17% AR
- Vitamine B3 liposomée 0,80 mg 5% AR
- Vitamine B5 liposomée 1 mg 17% AR
- Vitamine B6 liposomée 2 mg 143% AR
- Vitamine B8 liposomée 0,01 mg 12% AR
- Vitamine B9 liposomée 0,4 µg 17% AR
- Vitamine C liposomée 32 mg 40% AR
","Stabilisant : Phospholipides ; Gélule végétale : Pullulan ;
Vitamine C ; Fer (Bisglycinate) ; Agent de charge : Gomme d’acacia ; Anti-agglomérant : Extrait de riz ; Vitamine B6 ; Vitamine B5 ; Vitamine B3 ; Vitamine B1 ; Vitamine B2 ; Vitamine B9 ; Vitamine B8 ; Vitamine B12",Prendre 1 gélule par jour avec un grand verre d’eau.,"Ce produit est un complément alimentaire à base de vitamines et de
minéral. Il doit être utilisé dans le cadre d’un mode de vie sain et ne pas être utilisé comme substitut d’un régime équilibré et varié. Se conformer aux conseils d’utilisation, ne pas dépasser la dose journalière recommandée. Tenir hors de portée des enfants. Déconseillé
aux femmes enceintes ou qui allaitent et aux enfants de moins de 12 ans. À conserver à l’abri de la chaleur et de l’humidité.","16,95 G",,3760293914473,mockup-fer-30g.png (https://dl.airtable.com/.attachments/e580dcf3daea8459e46452f32ffb00ef/f94c58c7/mockup-fer-30g.png),,,Fait,
GASTROBIOTIC,GASTRO15,PHARMA NATURE,PN-blanc.png (https://dl.airtable.com/.attachments/ad3b9142f3dbdffaa91204d99b3212ae/a662ecb5/PN-blanc.png),Probiotiques,Prescription biotic,15 gélules,mockup-gastrobiotic-15g.png (https://dl.airtable.com/.attachments/61600f814e15d48f31de8eec992a201a/9a1ceaa9/mockup-gastrobiotic-15g.png),"GASTROBIOTIC ADV AOUT2021 300DPI.pdf (https://dl.airtable.com/.attachments/2c39d4e3a8ee00ac694b30844d755cbb/ef337b1b/GASTROBIOTICADVAOUT2021300DPI.pdf),BIOTIC PRESCRIPTION ADV AOUT2021 300DPI.pdf (https://dl.airtable.com/.attachments/3dba54e7a3eb487d8ebb93721a47cc9b/f26a1e21/BIOTICPRESCRIPTIONADVAOUT2021300DPI.pdf)",GASTROBIOTIC 15 _01-07.pdf (https://dl.airtable.com/.attachments/0d6aac3fbdeaba58af6fa5b0a904c2a3/d2818637/GASTROBIOTIC15_01-07.pdf),3 gélules,,,"'- Nauséastop® : Extrait de rhizomes de gingembre titré
à 10% de gingérols dont 30% de 6-gingérol/6-shogaol : 500 mg
- Extrait de sommités de salicaire : 300 mg
- Extrait de feuilles de mélisse titré à 5% d’acides rosmariniques : 200 mg
- Extrait de Saccharomyces boulardii CNCM I-3799* : 200 mg
- Extrait de parties aériennes de thym à thymol : 100 mg
- Huile essentielle d’origan : 10 mg

*La quantité de Saccharomyces boulardii pour 3 gélules est de 4 milliards UFC
(UFC = Unité Formant Colonie).",,Prendre 3 gélules par jour avec un verre d’eau.,"Ce produit est un complément alimentaire à base de plantes et de souches microbiotiques. Les compléments alimentaires doivent être utilisés dans le cadre d’un mode de vie sain et ne pas être utilisés comme substituts d’un régime équilibré et varié. Tenir hors de portée des enfants. Déconseillé aux femmes enceintes ou qui allaitent, aux enfants de moins de 12 ans et aux personnes sous traitement anti-diabétique. Se conformer aux conseils d’utilisation, ne pas dépasser la dose journalière recommandée. Ne pas utiliser plus de 14 jours consécutifs. Demandez conseil à votre pharmacien. À conserver à l’abri de la lumière, de la chaleur et de l’humidité.","8,61 ",,9760293910017,"mockup gastrobiotic 15g.png (https://dl.airtable.com/.attachments/f8a2680482fe90e4d3fbc8bd3f4e8d58/19272e5e/mockupgastrobiotic15g.png),mockup gastrobiotic 15g dos.png (https://dl.airtable.com/.attachments/50afa198557c3718f33dd1f44729dc60/6ff976c8/mockupgastrobiotic15gdos.png)",,,Fait,
GELEE ROYALE BIO,GELEE45,PHARMA NATURE,PN-blanc.png (https://dl.airtable.com/.attachments/ad3b9142f3dbdffaa91204d99b3212ae/a662ecb5/PN-blanc.png),Bio,Vital organic,45 gélules,gelee-royale45.png (https://dl.airtable.com/.attachments/4f38653338db8345a129b17acc84af6f/32ac9755/gelee-royale45.png),VITAL ORGANIC AV AOUT2021 300DPI.pdf (https://dl.airtable.com/.attachments/6fa7ae38f997fcb36c873bc6964c6fb4/7d4b2f9b/VITALORGANICAVAOUT2021300DPI.pdf),,3 gélules,,,'- 1005 mg de gelée royale BIO lyophilisée titrée à 4% de 10-HDA (Acide hydoxy-2-décénoïque) (40 mg).,gelée royale BIO lyophilisée titrée ; agent de charge : gomme d’acacia BIO ; gélule végétale : hydroxypropylméthylcellulose ; anti-agglomérant : extrait de riz BIO,prendre 1 à 3 gélules par jour.,"Ce produit est un complément alimentaire à base de gelée royale. Les compléments alimentaires doivent être utilisés dans le cadre d’un mode de vie sain et ne pas être utilisés comme substituts d’un régime équilibré et varié. Se conformer aux conseils d’utilisation, ne pas dépasser la dose journalière recommandée. Tenir hors de portée des enfants. Déconseillé aux femmes enceintes ou qui allaitent et aux enfants de moins de 6 ans. À conserver à l’abri de la chaleur, de la lumière et de l’humidité.",,,3760293913254,gelee-royale45.png (https://dl.airtable.com/.attachments/dbbfec5e51290c8ff9eefaddf3f5d945/a0ef8bde/gelee-royale45.png),,,Fait,
GELEE ROYALE BIO,GELEE150,PHARMA NATURE,PN-blanc.png (https://dl.airtable.com/.attachments/ad3b9142f3dbdffaa91204d99b3212ae/a662ecb5/PN-blanc.png),Bio,Vital organic,150 gélules,GELEE-ROYALE.png (https://dl.airtable.com/.attachments/beb86813db1f28ec7c102e2c0e8f27af/92fd3a0e/GELEE-ROYALE.png),VITAL ORGANIC AV AOUT2021 300DPI.pdf (https://dl.airtable.com/.attachments/6fa7ae38f997fcb36c873bc6964c6fb4/7d4b2f9b/VITALORGANICAVAOUT2021300DPI.pdf),,3 gélules,,,'- 1005 mg de gelée royale BIO lyophilisée titrée à 4% de 10-HDA (Acide hydoxy-2-décénoïque) (40 mg).,gelée royale BIO lyophilisée titrée ; agent de charge : gomme d’acacia BIO ; gélule végétale : hydroxypropylméthylcellulose ; anti-agglomérant : extrait de riz BIO,prendre 1 à 3 gélules par jour.,"Ce produit est un complément alimentaire à base de gelée royale. Les compléments alimentaires doivent être utilisés dans le cadre d’un mode de vie sain et ne pas être utilisés comme substituts d’un régime équilibré et varié. Se conformer aux conseils d’utilisation, ne pas dépasser la dose journalière recommandée. Tenir hors de portée des enfants. Déconseillé aux femmes enceintes ou qui allaitent et aux enfants de moins de 6 ans. À conserver à l’abri de la chaleur, de la lumière et de l’humidité.","85,65 g",,3760293913247,GELEE-ROYALE.png (https://dl.airtable.com/.attachments/adb2aa8af30e5e0cf2177c5e86a5456e/08d25361/GELEE-ROYALE.png),,,Fait,
